Date,Price,,,,,,,,,,,,,,,,
30-May-20,55.08477046,,,,,,,,,,,,,,,,
31-May-20,55.48127306,,,,,,,,,,,,,,,,
1-Jun-20,55.69822731,,,,,,,,,,,,,,,,
2-Jun-20,55.72815203,,,,,,,,,,,,,,,,
3-Jun-20,56.22939117,,,,,,,,,,,,,,,,
4-Jun-20,53.4089859,,,,,,,,,,,,,,,,
5-Jun-20,54.17206637,,,,,,,,,,,,,,,,
6-Jun-20,51.96511795,,,,,,,,,,,,,,,,
7-Jun-20,51.85290023,,,,,,,,,,,,,,,,
8-Jun-20,50.9177526,,,,,,,,,,,,,,,,
9-Jun-20,51.96511795,,,,,,,,,,,,,,,,
10-Jun-20,51.45639764,,,,,,,,,,,,,,,,
11-Jun-20,53.10225747,,,,,,,,,,,,,,,,
12-Jun-20,53.27432464,,,,,,,,,,,,,,,,
13-Jun-20,52.84789732,,,,,,,,,,,,,,,,
14-Jun-20,52.0249674,,,,,,,,,,,,,,,,
15-Jun-20,52.93767149,,,,,,,,,,,,,,,,
16-Jun-20,51.67335189,,,,,,,,,,,,,,,,
17-Jun-20,52.10726039,,,,,,,,,,,,,,,,
18-Jun-20,51.65090834,,,,,,,,,,,,,,,,
19-Jun-20,52.88530322,,,,,,,,,,,,,,,,
20-Jun-20,51.81549433,,,,,,,,,,,,,,,,
21-Jun-20,50.72324189,,,,,,,,,,,,,,,,
22-Jun-20,47.97016725,,,,,,,,,,,,,,,,
23-Jun-20,49.34670457,,,,,,,,,,,,,,,,
24-Jun-20,47.61107056,,,,,,,,,,,,,,,,
25-Jun-20,47.41655985,,,,,,,,,,,,,,,,
26-Jun-20,47.9103178,,,,,,,,,,,,,,,,
27-Jun-20,46.74325356,,,,,,,,,,,,,,,,
28-Jun-20,47.24449269,,,,,,,,,,,,,,,,
29-Jun-20,48.11230969,,,,,,,,,,,,,,,,
30-Jun-20,48.56866174,,,,,,,,,,,,,,,,
1-Jul-20,49.19708095,,,,,,,,,,,,,,,,
2-Jul-20,49.57862119,,,,,,,,,,,,,,,,
3-Jul-20,50.55865591,,,,,,,,,,,,,,,,
